COD,SETOR,PRECO_ATUAL,LIQUIDEZ_DIARIA,DIVIDENDO,DIVIDEND_YIELD,DY_3M_ACUM,DY_6M_ACUM,DY_12M_ACUM,DY_3M_MEDIA,DY_6M_MEDIA,DY_12M_MEDIA,DY_ANO,VARIACAO_PRECO,RENTAB_PERIODO,RENTAB_ACUM,PATRIMONIO_LIQ,VPA,P_VPA,DY_PATRIMONIAL,VARIACAO_PATRIMONIAL,RENTAB_PATR_NO_PERIODO,RENTAB_PATR_ACUM,VACANCIA_FISICA,VACANCIA_FINANCEIRA,QUANTIDADE_ATIVOS
MALL11,Shoppings,"99,00",9691,"0,78","0,79","2,35","4,54","8,87","0,78","0,76","0,74","2,35","0,03","0,82","-2,41"," 1.094.178.737,27"," 119,91","0,83",N/A,N/A,N/A,N/A,"4,00",N/A,8
PVBI11,Lajes Corporativas,"91,85",16663,"0,61","0,69","2,12","3,95","7,52","0,71","0,66","0,63","2,12","3,56","4,27","6,70"," 1.040.547.991,88"," 103,65","0,89","0,55","4,63","5,20","8,21","0,10",N/A,4
STRX11,Híbrido,"22,96",318,"0,72","0,00","0,00","0,00","0,00","0,00","0,00","0,00",N/A,"0,00","0,00","0,00"," 264.467.459,77"," 163,90","0,14","0,44","10,60","11,09","12,25",N/A,N/A,0
RNGO11,Lajes Corporativas,"48,39",292,"0,43","0,91","2,72","5,38","10,41","0,91","0,90","0,87","2,72","0,64","1,55","2,84"," 231.610.634,93"," 86,55","0,56","0,50","-0,05","0,45","0,95","24,10",N/A,3
RURA11,,"10,20",63688,"0,09","0,86","2,86","5,28","0,00","0,95","0,88","0,00","2,86","0,00","0,86","3,77",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
CACR11,Híbrido,"103,40",1149,"1,44","1,39","4,08","8,35","15,98","1,36","1,39","1,33","4,08","-2,33","-0,97","4,68"," 189.161.169,77"," 104,66","0,99","1,38","0,83","2,21","3,59",N/A,N/A,0
FPAB11,Lajes Corporativas,"126,00",199,"0,95","0,70","3,03","5,89","10,51","1,01","0,98","0,88","3,03","0,74","1,44","2,31"," 281.634.402,75"," 375,51","0,34","0,40","0,08","0,49","0,93","33,79",N/A,1
RBVA11,Outros,"90,83",5037,"0,95","1,05","3,09","6,52","12,91","1,03","1,09","1,08","3,09","-1,55","-0,51","-1,28"," 1.254.417.067,10"," 108,25","0,84","0,89","-0,03","0,86","1,76","0,70",N/A,72
CXAG11,Outros,"75,61",1192,"0,75","0,97","2,91","6,05","12,03","0,97","1,01","1,00","2,91","-0,90","0,06","2,26"," 239.776.557,58"," 114,69","0,66","0,65","0,00","0,65","0,65",N/A,N/A,0
XPHT11,Hotel,"105,63",528,"1,10","1,11","3,28","7,58","10,81","1,09","1,26","0,90","3,28","-5,61","-4,56","-7,75"," 358.486.293,56"," 94,22","1,12",N/A,N/A,N/A,N/A,"64,90",N/A,5
